ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,RejectionReason
45548151.0,10349.0,1267,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,479700 km,4,Automatic,Front,4-May,Right-hand drive,Black,,Invalid or Empty value in 'Airbags'
45801503.0,30931.0,880,HYUNDAI,Elantra,1997,Sedan,Yes,Petrol,,173500 km,4,Automatic,Front,4-May,Left wheel,White,4.0,Invalid or Empty value in 'Engine volume'
45614391.0,26343.0,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,,4,Tiptronic,Front,4-May,Left wheel,Silver,12.0,Invalid or Empty value in 'Mileage'
45733113.0,13799.0,639,,Sonata,2006,Sedan,Yes,LPG,2,60660 km,4,Automatic,Front,4-May,Left wheel,White,4.0,Invalid or Empty value in 'Manufacturer'
45342484.0,37320.0,1055,MERCEDES-BENZ,E 350 Ã©ÂÂ¿Ã¦ÂÂ¥Ã¥ÂÂ§Ã©ÂÂ¿?2013,1989,Yes,Petrol,3.5,156800 km,157600 km,Tiptronic,4x4,4-May,Left wheel,Black,12,,Illegal characters in 'Model'
45763626.0,314.0,862,FORD,Escape,2022,Jeep,Yes,Hybrid,2.5,737200 km,4,Automatic,4x4,4-May,,Green,0.0,Invalid or Empty value in 'Wheel'
45680165.0,7840.0,-,NISSAN,Note,2014,Sedan,No,Petrol,,713600 km,4,Variator,Front,4-May,Right-hand drive,Golden,0.0,Invalid or Empty value in 'Engine volume'
45788258.0,17876.0,,HYUNDAI,Elantra,2007,Sedan,No,Petrol,1.6,335833 km,4,Tiptronic,Front,4-May,Left wheel,Silver,8.0,Invalid or Empty value in 'Levy'
45807594.0,188.0,765,MERCEDES-BENZ,GLA 250,2021,Jeep,Yes,Petrol,,591300 km,4,Automatic,Front,4-May,Left wheel,Red,12.0,Invalid or Empty value in 'Engine volume'
45771968.0,157.0,585,TOYOTA,Prius,2020,Sedan,Yes,,1.8,656700 km,4,Automatic,Front,4-May,Left wheel,Red,12.0,Invalid or Empty value in 'Fuel type'
45804674.0,30750.0,770,HYUNDAI,Tucson,1999,Jeep,Yes,Diesel,1.7,89700 km,4,,Front,4-May,Left wheel,White,4.0,Invalid or Empty value in 'Gear box type'
45816009.0,13172.0,474,FIAT,500C Lounge,2007,Cabriolet,Yes,Petrol,1.4,57922 km,4,Automatic,Front,,Left wheel,Blue,6.0,Invalid or Empty value in 'Doors'
45813980.0,10663.0,586,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,430800 km,4,Automatic,Front,4-May,Left wheel,Blue,,Invalid or Empty value in 'Airbags'
41080762.0,54882.0,-,BMW,,2011,Jeep,Yes,Petrol,3.0 Turbo,104000 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Model'
45771441.0,56136.0,1017,MERCEDES-BENZ,E 300,2017,Sedan,,Petrol,2,50963 km,4,Automatic,Rear,4-May,Left wheel,Black,12.0,Invalid or Empty value in 'Leather interior'
45772353.0,,-,FORD,Transit,1996,Microbus,No,Diesel,2.5,5451812 km,6,Manual,Rear,4-May,Left wheel,White,2.0,Invalid or Empty value in 'Price'
45797465.0,20698.0,831,HYUNDAI,Elantra,2017,Sedan,Yes,LPG,1.6,,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Mileage'
45803231.0,15053.0,765,HYUNDAI,Sonata,2009,Sedan,Yes,LPG,2,445800 km,4,,Front,4-May,Left wheel,Silver,4.0,Invalid or Empty value in 'Gear box type'
45451680.0,90.0,-,TOYOTA,VOXY,2022,Minivan,No,LPG,2,623100 km,4,Automatic,4x4,4-May,,Black,2.0,Invalid or Empty value in 'Wheel'
45770423.0,21953.0,-,AUDI,A6 Ã¥Â°Â6,2003,Sedan,Yes,Petrol,,321400 km,6,Tiptronic,4x4,4-May,Right-hand drive,Grey,12.0,Illegal characters in 'Model'
45785310.0,40769.0,-,TOYOTA,RAV 4,1991,,No,Petrol,2.5,0 km,4,Tiptronic,4x4,4-May,Left wheel,Grey,8.0,Invalid or Empty value in 'Category'
45654199.0,157.0,1058,MERCEDES-BENZ,ML 350,2022,Jeep,Yes,Diesel,3.5,701200 km,6,Automatic,4x4,4-May,,Black,12.0,Invalid or Empty value in 'Wheel'
45733664.0,57698.0,1079,HYUNDAI,Sonata,2018,Sedan,Yes,Petrol,2,36304 km,4,Automatic,Front,4-May,Left wheel,Grey,,Invalid or Empty value in 'Airbags'
,28357.0,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,151780 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid ID format (not an integer)
44473357.0,,1528,FORD,Transit,2007,Microbus,No,Diesel,2.4,158000 km,4,Manual,Rear,4-May,Left wheel,White,2.0,Invalid or Empty value in 'Price'
45775556.0,4234.0,-,OPEL,Corsa,2000,Hatchback,,Petrol,1.2,0 km,4,Manual,Front,2-Mar,Left wheel,Black,2.0,Invalid or Empty value in 'Leather interior'
45417252.0,29793.0,934,MAZDA,Mazda 6,2000,Sedan,Yes,Petrol,2.5,125700 km,4,,Front,4-May,Left wheel,Grey,9.0,Invalid or Empty value in 'Gear box type'
,26770.0,730,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,95184 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0,Invalid ID format (not an integer)
44960962.0,,934,TOYOTA,Camry,2015,Sedan,Yes,Petrol,2.5,75000 km,6,Tiptronic,,4-May,Left wheel,Black,8.0,Invalid or Empty value in 'Drive wheels'
43908528.0,16621.0,761,TOYOTA,Prius Ã©ÂÂ¿Ã¦ÂÂ¬Ã¥ÂÂ¤Ã©ÂÂ¿Ã¦ÂÂÃ¥ÂÂ¬Ã©ÂÂ¿Ã¦Â¨Â¶Ã¥ÂÂÃ©ÂÂ¿?2010,2009,No,Hybrid,1.8,120000 km,440700 km,Variator,Front,4-May,Left wheel,Silver,12,,Illegal characters in 'Model'
45787214.0,14740.0,562,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,,416069 km,4,Automatic,Front,4-May,Left wheel,White,12.0,Invalid or Empty value in 'Engine volume'
45809801.0,30891.0,697,HONDA,Civic,1999,Sedan,Yes,Petrol,1.8,114500 km,4,Automatic,Front,4-May,Left wheel,Silver,,Invalid or Empty value in 'Airbags'
,7840.0,-,OPEL,Vectra,2000,Hatchback,No,CNG,1.8,268000 km,4,Manual,Front,4-May,Left wheel,Silver,4.0,Invalid ID format (not an integer)
45768379.0,54568.0,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8,Automatic,4x4,4-May,Left wheel,,0.0,Invalid or Empty value in 'Color'
45790559.0,6272.0,-,,A 190,2017,Sedan,Yes,Petrol,1.9,604200 km,4,Tiptronic,Front,4-May,Left wheel,Green,4.0,Invalid or Empty value in 'Manufacturer'
45761488.0,17700.0,697,VOLKSWAGEN,Jetta,2003,Sedan,Yes,Petrol,1.8 Turbo,360700 km,4,,Front,4-May,Left wheel,Grey,12.0,Invalid or Empty value in 'Gear box type'
45653996.0,15500.0,-,MERCEDES-BENZ,E 320 4Ã¨ÂÂ³4,2008,Sedan,Yes,CNG,3.2,530600 km,4,Automatic,4x4,4-May,Left wheel,Silver,8.0,Illegal characters in 'Model'
45794115.0,12231.0,-,MERCEDES-BENZ,Sprinter,2011,,No,Diesel,2.5 Turbo,482800 km,5,Manual,Rear,4-May,Left wheel,,2.0,Invalid or Empty value in 'Category'
45732757.0,16894.0,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,233600 km,4,Automatic,Front,4-May,,Black,4.0,Invalid or Empty value in 'Wheel'
45815530.0,25000.0,-,TOYOTA,Camry Le,2012,Sedan,No,Petrol,2.5,,6,Tiptronic,Front,4-May,Left wheel,Black,10.0,Invalid or Empty value in 'Mileage'
45803146.0,19914.0,891,HYUNDAI,,2003,Sedan,Yes,LPG,2,275500 km,4,Automatic,Front,4-May,Left wheel,Orange,4.0,Invalid or Empty value in 'Model'
45757582.0,32929.0,1202,JEEP,Renegade,1997,Jeep,Yes,Petrol,2.4,215200 km,4,Tiptronic,4x4,4-May,,Grey,9.0,Invalid or Empty value in 'Wheel'
