ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
31756996.0,382,KIA,Optima,2002,Sedan,Yes,Hybrid,2.4,436100,4,Automatic,Front,4-5,Left wheel,Blue,10.0,18660.0
32558066.0,382,KIA,Optima,2009,Sedan,Yes,Hybrid,2.4,583400,4,Automatic,Front,4-5,Left wheel,White,10.0,11133.0
35108811.0,1267,TOYOTA,Aqua,2011,Hatchback,Yes,Hybrid,1.5,515000,4,Automatic,Front,4-5,Right-hand drive,Blue,4.0,10976.0
35464629.0,1111,HONDA,FIT,2019,Hatchback,No,Petrol,1.3,567100,4,Automatic,Front,4-5,Right-hand drive,Blue,6.0,7840.0
35818882.0,1055,MERCEDES-BENZ,E 350,2004,Coupe,Yes,Petrol,3.5,265778,6,Automatic,Rear,2-3,Left wheel,Carnelian red,12.0,20698.0
38061684.0,1268,TOYOTA,Aqua,2013,Hatchback,No,Hybrid,1.5,580300,4,Variator,Front,4-5,Right-hand drive,Orange,4.0,10663.0
38150576.0,562,FIAT,500 Sport,2013,Hatchback,Yes,Petrol,1.4,509800,4,Manual,Front,2-3,Left wheel,Blue,6.0,11133.0
38794452.0,761,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.8,370100,4,Automatic,Front,4-5,Left wheel,Pink,10.0,13799.0
39669828.0,530,FORD,Fiesta,2010,Sedan,No,Petrol,1.6,476700,4,Automatic,Front,4-5,Left wheel,White,8.0,14900.0
39689487.0,1083,DODGE,Challenger,2002,Coupe,No,Petrol,3.6,262300,2,Manual,Rear,4-5,Left wheel,Blue,12.0,23521.0
39854899.0,915,LAND ROVER,Land Rover Sport,2014,Jeep,Yes,Diesel,3.0 T,126000,6,Automatic,4x4,4-5,Left wheel,White,12.0,114468.0
39864330.0,382,HYUNDAI,Sonata,2013,Sedan,Yes,Hybrid,2.4,476700,4,Automatic,Front,4-5,Left wheel,Silver,10.0,10506.0
39896013.0,640,SUBARU,XV,2007,Jeep,No,Hybrid,2,214900,4,Tiptronic,4x4,4-5,Left wheel,Green,12.0,20385.0
40132311.0,1268,HONDA,FIT,2020,Hatchback,Yes,Hybrid,1.5,582100,4,Variator,Front,4-5,Right-hand drive,Sky blue,2.0,6272.0
40132377.0,1083,CHEVROLET,Camaro LS,2003,Coupe,No,Petrol,3.6,261200,6,Manual,Rear,2-3,Left wheel,Black,12.0,23521.0
40471256.0,915,LAND ROVER,Range Rover,2014,Jeep,Yes,Diesel,3.0 T,126000,6,Automatic,4x4,4-5,Left wheel,White,12.0,114468.0
40754201.0,831,TOYOTA,Yaris IA,2008,Sedan,Yes,Petrol,1.5,91726,4,Automatic,Front,4-5,Left wheel,Grey,10.0,21012.0
40784381.0,880,NISSAN,Kicks,2004,Jeep,No,Petrol,1.6,268500,4,Automatic,Front,4-5,Left wheel,Grey,0.0,25089.0
41078749.0,503,HONDA,Civic Hybrid,2015,Sedan,Yes,Hybrid,1.5,572500,4,Variator,Front,4-5,Left wheel,Sky blue,12.0,6272.0
41177629.0,1104,BMW,640 M,2015,Sedan,Yes,Petrol,3.0 T,45916,6,Tiptronic,4x4,4-5,Left wheel,White,12.0,103491.0
41617599.0,645,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,505400,4,Automatic,Front,4-5,Left wheel,Golden,0.0,13328.0
41644611.0,642,FORD,Focus,2012,Sedan,No,Petrol,2,585172,4,Automatic,Front,4-5,Left wheel,White,8.0,11604.0
41647016.0,629,NISSAN,Juke,1999,Jeep,No,Petrol,1.6 T,245400,4,Manual,Front,4-5,Left wheel,Silver,12.0,23521.0
41653407.0,584,VOLKSWAGEN,Passat,2009,Sedan,Yes,Petrol,1.8 T,446800,4,Automatic,Front,4-5,Left wheel,White,0.0,15681.0
41704944.0,2148,MERCEDES-BENZ,CLS 550,2005,Sedan,Yes,Petrol,5.5,343700,4,Automatic,Front,4-5,Left wheel,Grey,10.0,19130.0
41705081.0,586,TOYOTA,Prius V,2009,Hatchback,No,Hybrid,1.8,309400,4,Automatic,Front,4-5,Left wheel,White,0.0,16151.0
41932285.0,1024,VOLKSWAGEN,Jetta,2015,Sedan,Yes,Petrol,2.5,627000,4,Automatic,Front,4-5,Left wheel,Silver,8.0,7500.0
42083016.0,761,TOYOTA,Prius,2011,Sedan,No,Hybrid,1.8,566600,4,Tiptronic,Front,4-5,Left wheel,Red,8.0,13500.0
42094483.0,765,MINI,Cooper S,2002,Hatchback,Yes,Petrol,2,367600,4,Manual,Front,4-5,Left wheel,Red,8.0,23678.0
42094534.0,779,TOYOTA,Camry SE,2004,Sedan,Yes,Petrol,2.5,462447,4,Automatic,Front,4-5,Left wheel,Black,10.0,19130.0
42139958.0,364,VOLKSWAGEN,UP,2012,Hatchback,No,Petrol,1,648500,3,Tiptronic,Front,4-5,Left wheel,Blue,4.0,9000.0
42142140.0,586,TOYOTA,Prius V,2007,Hatchback,Yes,Hybrid,1.8,462500,4,Automatic,Front,4-5,Left wheel,Grey,8.0,17876.0
42168731.0,761,TOYOTA,Prius,2009,Hatchback,No,Hybrid,1.8,445200,4,Automatic,Front,4-5,Left wheel,White,8.0,14113.0
42199527.0,431,KIA,Optima HYBRID,1997,Sedan,No,Hybrid,2,283400,4,Automatic,Front,4-5,Left wheel,White,10.0,26030.0
42200666.0,765,FORD,Fusion TITANIUM,2004,Sedan,Yes,Petrol,2.0 T,289700,4,Automatic,Front,4-5,Left wheel,Silver,8.0,19757.0
42285397.0,1268,TOYOTA,Aqua,2016,Hatchback,No,Hybrid,1.5,373000,4,Automatic,Front,4-5,Right-hand drive,Sky blue,8.0,9722.0
42303965.0,1714,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,31000,6,Tiptronic,4x4,4-5,Left wheel,Grey,12.0,100355.0
42307514.0,751,HYUNDAI,Sonata,2011,Sedan,Yes,Hybrid,2.4,407200,4,Automatic,Front,4-5,Left wheel,Blue,8.0,13485.0
42366769.0,658,HONDA,Insight,2012,Hatchback,No,Hybrid,1.3,448500,4,Automatic,Front,4-5,Left wheel,White,8.0,11917.0
42367131.0,586,TOYOTA,Prius V,2003,Hatchback,No,Hybrid,1.8,297400,4,Automatic,Front,4-5,Left wheel,Red,8.0,18817.0
42368942.0,697,VOLKSWAGEN,Jetta SPORT,2005,Sedan,Yes,Petrol,1.8 T,407200,4,Automatic,Front,4-5,Left wheel,White,8.0,17562.0
42372005.0,1266,TOYOTA,Aqua,2011,Hatchback,No,Hybrid,1.5,576300,4,Automatic,Front,4-5,Right-hand drive,White,4.0,10100.0
42411958.0,640,FORD,C-MAX PREMIUM,2008,Hatchback,Yes,Hybrid,2,264200,4,Automatic,Front,4-5,Left wheel,Red,8.0,15837.0
42412373.0,781,CHEVROLET,Trax,2007,Jeep,Yes,Petrol,1.4,468700,4,Automatic,4x4,4-5,Left wheel,Black,8.0,15367.0
42452805.0,501,MAZDA,Mazda 2,2016,Hatchback,No,Petrol,1.5,446300,4,Automatic,Front,4-5,Left wheel,Blue,6.0,10506.0
42655225.0,629,KIA,SOUL,2010,Jeep,No,Petrol,1.6,194472,4,Manual,Front,4-5,Left wheel,Grey,8.0,13956.0
42717795.0,1266,TOYOTA,Aqua,2014,Sedan,No,Hybrid,1.5,487438,4,Automatic,Front,4-5,Right-hand drive,White,4.0,8900.0
42733075.0,1268,TOYOTA,Aqua,2015,Hatchback,No,Hybrid,1.5,567300,4,Automatic,Front,4-5,Right-hand drive,Grey,2.0,9408.0
42784079.0,765,KIA,Sportage PRESTIGE,1986,Jeep,Yes,Diesel,2.0 T,0,4,Tiptronic,Front,4-5,Left wheel,White,8.0,47038.0
